Player,FPTS,ROST,Year,Week
Mike Evans (TB),8.5,98.6%,2024,7
Garrett Wilson (NYJ),8.1,98.8%,2024,7
Jalen Nailor (MIN),7.6,9.1%,2024,7
Van Jefferson (PIT),7.5,0.9%,2024,7
Nick Westbrook-Ikhine (TEN),7.0,27.4%,2024,7
Jordan Addison (MIN),6.6,86.0%,2024,7
Greg Dortch (ARI),6.5,6.2%,2024,7
Khalil Shakir (BUF),6.5,78.3%,2024,7
Chris Godwin (TB),6.5,36.7%,2024,7
Joshua Palmer (LAC),6.3,14.8%,2024,7
Michael Pittman Jr. (IND),6.3,81.0%,2024,7
Charlie Jones (CIN),6.0,0.1%,2024,7
Parker Washington (JAC),6.0,3.0%,2024,7
Allen Lazard (NYJ),5.8,9.6%,2024,7
Tyler Johnson (LAR),5.7,9.9%,2024,7
Tutu Atwell (LAR),5.1,2.7%,2024,7
Jacob Cowing (SF),5.0,0.6%,2024,7
Troy Franklin (DEN),5.0,3.0%,2024,7
Tre Tucker (LV),4.7,7.9%,2024,7
Darnell Mooney (ATL),4.6,70.5%,2024,7
Ladd McConkey (LAC),4.6,88.2%,2024,7
Tyler Lockett (SEA),4.5,46.2%,2024,7
Mason Tipton (NO),4.5,0.8%,2024,7
Simi Fehoko (LAC),4.5,1.0%,2024,7
Tyler Boyd (TEN),4.3,3.1%,2024,7
Calvin Ridley (TEN),4.2,85.9%,2024,7
Elijah Moore (CLE),4.1,20.7%,2024,7
Malik Nabers (NYG),4.1,97.7%,2024,7
Bub Means (NO),3.7,1.0%,2024,7
Calvin Austin III (PIT),3.6,4.7%,2024,7
Sterling Shepard (TB),3.5,6.4%,2024,7
Kayshon Boutte (NE),3.3,5.4%,2024,7
Davante Adams (NYJ),3.0,98.9%,2024,7
Adonai Mitchell (IND),3.0,8.2%,2024,7
Zay Flowers (BAL),3.0,95.1%,2024,7
Xavier Smith (LAR),3.0,0.0%,2024,7
Jalen McMillan (TB),2.6,52.3%,2024,7
Tim Patrick (DET),2.5,4.7%,2024,7
Olamide Zaccheaus (WAS),2.5,3.8%,2024,7
Xavier Worthy (KC),2.4,78.4%,2024,7
Christian Kirk (JAC),2.4,44.7%,2024,7
Dyami Brown (WAS),2.3,0.7%,2024,7
Stefon Diggs (HOU),2.3,37.5%,2024,7
Brandon Aiyuk (SF),2.3,53.8%,2024,7
Wan'Dale Robinson (NYG),2.3,36.9%,2024,7
Jaxon Smith-Njigba (SEA),2.3,90.4%,2024,7
Marvin Harrison Jr. (ARI),2.1,95.6%,2024,7
Ricky Pearsall (SF),2.1,17.3%,2024,7
Nelson Agholor (BAL),2.0,0.4%,2024,7
Jalen Reagor (LAC),2.0,0.0%,2024,7
Devaughn Vele (DEN),2.0,12.5%,2024,7
Marvin Mims Jr. (DEN),1.8,7.2%,2024,7
Jerry Jeudy (CLE),1.8,75.9%,2024,7
DJ Turner (LV),1.7,0.6%,2024,7
Diontae Johnson (FA),1.7,51.5%,2024,7
Noah Brown (WAS),1.6,3.7%,2024,7
Trey Palmer (TB),1.6,1.1%,2024,7
Alec Pierce (IND),1.5,21.8%,2024,7
Mike Williams (PIT),1.5,13.6%,2024,7
Michael Wilson (ARI),1.5,10.7%,2024,7
Kendrick Bourne (NE),1.4,2.0%,2024,7
Casey Washington (ATL),1.4,0.0%,2024,7
DeMario Douglas (NE),1.4,19.2%,2024,7
Tyreek Hill (MIA),1.3,99.2%,2024,7
Gabe Davis (JAC),1.3,20.5%,2024,7
Ashton Dulin (IND),1.2,0.0%,2024,7
Lil'Jordan Humphrey (DEN),1.2,1.0%,2024,7
Darius Slayton (NYG),1.1,7.5%,2024,7
Xavier Hutchinson (HOU),1.1,0.7%,2024,7
Jaylen Waddle (MIA),1.1,83.9%,2024,7
Jayden Reed (GB),1.0,88.5%,2024,7
Ronnie Bell (DET),1.0,0.0%,2024,7
Jalen Coker (CAR),1.0,9.2%,2024,7
Ray-Ray McCloud III (ATL),0.9,19.3%,2024,7
Malik Washington (MIA),0.9,2.9%,2024,7
Xavier Legette (CAR),0.9,30.1%,2024,7
Demarcus Robinson (LAR),0.9,26.0%,2024,7
Justin Watson (KC),0.8,0.7%,2024,7
Bo Melton (GB),0.7,0.6%,2024,7
Christian Watson (GB),0.5,57.1%,2024,7
Josh Downs (IND),0.3,54.0%,2024,7
Javon Baker (NE),0.0,1.8%,2024,7
Ben Skowronek (PIT),0.0,0.0%,2024,7
Cornell Powell (SEA),0.0,0.0%,2024,7
Dax Milne (CAR),0.0,0.0%,2024,7
Jaelon Darden (SEA),0.0,0.0%,2024,7
Dee Eskridge (MIA),0.0,0.0%,2024,7
Chris Blair (ATL),0.0,0.0%,2024,7
D.J. Montgomery (IND),0.0,0.0%,2024,7
Steven Sims Jr. (BAL),0.0,0.0%,2024,7
Tom Kennedy (DET),0.0,0.0%,2024,7
Malik Taylor (NYJ),0.0,0.0%,2024,7
Deonte Harty (BAL),0.0,0.1%,2024,7
Alex Bachman (LV),0.0,0.0%,2024,7
Nsimba Webster (CHI),0.0,0.0%,2024,7
Quintez Cephus (LAR),0.0,0.0%,2024,7
James Proche II (CLE),0.0,0.0%,2024,7
Isaiah Hodgins (SF),0.0,0.0%,2024,7
Easop Winston Jr. (NYJ),0.0,0.0%,2024,7
Devin Duvernay (JAC),0.0,0.2%,2024,7
Gunner Olszewski (NYG),0.0,0.0%,2024,7
KJ Hamler (BUF),0.0,0.0%,2024,7
CeeDee Lamb (DAL),0.0,93.2%,2024,7
Laviska Shenault Jr. (FA),0.0,0.1%,2024,7
Parris Campbell (PHI),0.0,0.0%,2024,7
KaVontae Turpin (DAL),0.0,2.8%,2024,7
Collin Johnson (CHI),0.0,0.0%,2024,7
Cody Thompson (TB),0.0,0.0%,2024,7
Scotty Miller (FA),0.0,0.1%,2024,7
David Sills (ATL),0.0,0.0%,2024,7
Jakobi Meyers (LV),0.0,71.1%,2024,7
Stanley Morgan Jr. (TEN),0.0,0.0%,2024,7
Quinton Bell (MIA),0.0,0.1%,2024,7
Juwann Winfree (IND),0.0,0.0%,2024,7
Marquez Callaway (TB),0.0,0.0%,2024,7
Nico Collins (HOU),0.0,98.8%,2024,7
Chris Olave (NO),0.0,77.8%,2024,7
Dez Fitzpatrick (LAC),0.0,0.0%,2024,7
Ihmir Smith-Marsette (NYG),0.0,0.1%,2024,7
Seth Williams (DAL),0.0,0.0%,2024,7
Anthony Schwartz (MIA),0.0,0.0%,2024,7
Dan Chisena (CAR),0.0,0.0%,2024,7
Tarik Black (MIA),0.0,0.0%,2024,7
Cody White (SEA),0.0,0.0%,2024,7
Quez Watkins (ARI),0.0,0.0%,2024,7
Rondale Moore (ATL),0.0,0.8%,2024,7
Justyn Ross (KC),0.0,0.0%,2024,7
Tylan Wallace (BAL),0.0,0.1%,2024,7
Jauan Jennings (SF),0.0,80.0%,2024,7
Trishton Jackson (ARI),0.0,0.0%,2024,7
Lawrence Cager (WAS),0.0,0.0%,2024,7
Mason Kinsey (TEN),0.0,0.0%,2024,7
Andre Baccellia (ARI),0.0,0.0%,2024,7
Kristian Wilkerson (LV),0.0,0.0%,2024,7
Malik Cunningham (BAL),0.0,0.0%,2024,7
Ryan Miller (TB),0.0,0.0%,2024,7
Dylan Drummond (ATL),0.0,0.0%,2024,7
Tyrell Shavers (BUF),0.0,0.0%,2024,7
John Stephens Jr. (DAL),0.0,0.0%,2024,7
Lucky Jackson (MIN),0.0,0.0%,2024,7
T.J. Luther (CAR),0.0,0.0%,2024,7
Zavier Scott (MIN),0.0,0.0%,2024,7
Jason Brownlee (KC),0.0,0.0%,2024,7
Xavier Gipson (NYJ),0.0,0.6%,2024,7
Nikko Remigio (KC),0.0,0.1%,2024,7
Shedrick Jackson (LV),0.0,0.0%,2024,7
Devontez Walker (BAL),0.0,1.5%,2024,7
Malachi Corley (NYJ),0.0,2.3%,2024,7
Tank Dell (HOU),0.0,76.4%,2024,7
Rome Odunze (CHI),0.0,65.4%,2024,7
Jesse Matthews (ATL),0.0,0.0%,2024,7
Jalen Cropper (DAL),0.0,0.0%,2024,7
Maurice Alexander (CHI),0.0,0.0%,2024,7
Jalin Hyatt (NYG),0.0,2.2%,2024,7
Johnny Wilson (PHI),0.0,0.2%,2024,7
Derius Davis (LAC),0.0,0.3%,2024,7
Andrei Iosivas (CIN),0.0,4.1%,2024,7
Jake Bobo (SEA),0.0,0.2%,2024,7
Bryce Ford-Wheaton (NYG),0.0,0.0%,2024,7
Brycen Tremayne (WAS),0.0,0.0%,2024,7
Malik Heath (GB),0.0,0.1%,2024,7
Tyler Scott (CHI),0.0,0.1%,2024,7
Thayer Thomas (MIN),0.0,0.0%,2024,7
Antoine Green (DET),0.0,0.0%,2024,7
Colton Dowell (TEN),0.0,0.0%,2024,7
Jalen Brooks (DAL),0.0,0.1%,2024,7
Grant DuBose (MIA),0.0,0.0%,2024,7
Jared Wayne (HOU),0.0,0.0%,2024,7
Kazmeir Allen (WAS),0.0,0.0%,2024,7
Qadir Ismail (BAL),0.0,0.0%,2024,7
David White Jr. (JAC),0.0,0.0%,2024,7
Cole Burgess (CIN),0.0,0.0%,2024,7
Dee Williams (NYG),0.0,0.5%,2024,7
Julian Hicks (GB),0.0,0.0%,2024,7
John Jiles (NE),0.0,0.0%,2024,7
Tanner Knue (TB),0.0,0.0%,2024,7
John Jackson III (CHI),0.0,0.0%,2024,7
Kameron Johnson (TB),0.0,0.0%,2024,7
Luke McCaffrey (WAS),0.0,2.5%,2024,7
Joshua Cephus (JAC),0.0,0.0%,2024,7
Jha'Quan Jackson (TEN),0.0,0.1%,2024,7
Isaiah Williams (CIN),0.0,0.1%,2024,7
John Rhys Plumlee (SEA),0.0,0.0%,2024,7
Tahj Washington (MIA),0.0,0.0%,2024,7
Brenden Rice (LAC),0.0,1.3%,2024,7
Ja'Lynn Polk (NE),0.0,5.2%,2024,7
Roman Wilson (PIT),0.0,2.2%,2024,7
Jamari Thrash (CLE),0.0,0.1%,2024,7
Ryan Flournoy (DAL),0.0,0.1%,2024,7
Jermaine Jackson (FA),0.0,0.0%,2024,7
Jeff Foreman (LV),0.0,0.0%,2024,7
Jaylen Johnson (LAC),0.0,0.0%,2024,7
Terique Owens (SF),0.0,0.0%,2024,7
JaQuae Jackson (NE),0.0,0.0%,2024,7
Bryce Oliver (TEN),0.0,0.0%,2024,7
Jeshaun Jones (MIN),0.0,0.0%,2024,7
Ajou Ajou (IND),0.0,0.0%,2024,7
Anthony Gould (IND),0.0,0.0%,2024,7
Tulu Griffin (GB),0.0,0.0%,2024,7
Dayton Wade (BAL),0.0,0.0%,2024,7
Tejhaun Palmer (ARI),0.0,0.0%,2024,7
Drake Stoops (LAR),0.0,0.0%,2024,7
Xavier Johnson (HOU),0.0,0.0%,2024,7
Brandon Smith (NYJ),0.0,0.0%,2024,7
Michael Strachan (WAS),0.0,0.0%,2024,7
Tim Jones (JAC),0.0,0.0%,2024,7
Puka Nacua (LAR),0.0,97.1%,2024,7
Terrace Marshall Jr. (LV),0.0,0.0%,2024,7
Austin Trammell (JAC),0.0,0.0%,2024,7
Samori Toure (CHI),0.0,0.0%,2024,7
Michael Woods II (CLE),0.0,0.1%,2024,7
Kyle Philips (PHI),0.0,0.0%,2024,7
Skyy Moore (KC),0.0,0.1%,2024,7
Xavier Weaver (ARI),0.0,0.0%,2024,7
Jalen Tolbert (DAL),0.0,10.6%,2024,7
Michael Bandy (DEN),0.0,0.0%,2024,7
Erik Ezukanma (MIA),0.0,0.0%,2024,7
Rakim Jarrett (TB),0.0,0.0%,2024,7
Cornelius Johnson (GB),0.0,0.0%,2024,7
Kearis Jackson (HOU),0.0,0.0%,2024,7
Makai Polk (ATL),0.0,0.0%,2024,7
John Metchie III (HOU),0.0,0.8%,2024,7
Treylon Burks (TEN),0.0,1.4%,2024,7
Tyquan Thornton (KC),0.0,0.1%,2024,7
Jermaine Burton (CIN),0.0,2.1%,2024,7
Ontaria Wilson (NYJ),0.0,0.0%,2024,7
Jonathan Mingo (DAL),0.0,1.3%,2024,7
David Bell (CLE),0.0,0.0%,2024,7
Rashee Rice (KC),0.0,32.0%,2024,7
Quentin Johnston (LAC),0.0,52.7%,2024,7
Ramel Keyton (LV),0.0,0.0%,2024,7
Jordan Whittington (LAR),0.0,1.6%,2024,7
Ainias Smith (PHI),0.0,0.1%,2024,7
Jahan Dotson (PHI),0.0,7.0%,2024,7
Kevin Austin Jr. (NO),0.0,0.2%,2024,7
Tay Martin (TEN),0.0,0.0%,2024,7
Rashid Shaheed (NO),0.0,20.4%,2024,7
Lance McCutcheon (PIT),0.0,0.0%,2024,7
Kaden Davis (CLE),0.0,0.0%,2024,7
Tyreik McAllister (LV),0.0,0.0%,2024,7
Montrell Washington (KC),0.0,0.0%,2024,7
Dareke Young (SEA),0.0,0.0%,2024,7
Kendric Pryor (CIN),0.0,0.0%,2024,7
Dennis Houston (TB),0.0,0.0%,2024,7
Irvin Charles (NYJ),0.0,0.0%,2024,7
Jalen Virgil (BUF),0.0,0.0%,2024,7
Johnny Johnson III (HOU),0.0,0.0%,2024,7
Velus Jones Jr. (CAR),0.0,0.1%,2024,7
Britain Covey (PHI),0.0,0.1%,2024,7
Justin Shorter (LV),0.0,0.0%,2024,7
Deven Thompkins (CAR),0.0,0.0%,2024,7
Danny Gray (PHI),0.0,0.0%,2024,7
Brandon Johnson (PIT),0.0,0.0%,2024,7
A.T. Perry (DEN),0.0,2.3%,2024,7
Mitchell Tinsley (WAS),0.0,0.0%,2024,7
Deebo Samuel Sr. (SF),0.0,94.2%,2024,7
Robert Woods (HOU),0.0,0.7%,2024,7
Keenan Allen (CHI),0.0,84.6%,2024,7
Patrick Edwards (DET),0.0,0.0%,2024,7
Odell Beckham Jr. (FA),0.0,2.6%,2024,7
Allen Robinson II (DET),0.0,0.1%,2024,7
Jordan Matthews (CAR),0.0,0.0%,2024,7
Brandin Cooks (DAL),0.0,25.4%,2024,7
Kenny McKinley (DEN),0.0,0.0%,2024,7
Mike Furrey (WAS),0.0,0.0%,2024,7
Maurice Purify (CIN),0.0,0.0%,2024,7
Nate Hughes (JAC),0.0,0.0%,2024,7
Marko Mitchell (MIN),0.0,0.0%,2024,7
Bobby Wade (WAS),0.0,0.0%,2024,7
Chris Henry (CIN),0.0,0.0%,2024,7
Demario Ballard (DET),0.0,0.0%,2024,7
Rod Harper (PHI),0.0,0.0%,2024,7
Sam Giguere (NYG),0.0,0.0%,2024,7
Justin Hardee Sr. (TEN),0.0,0.0%,2024,7
Zach Pascal (ARI),0.0,0.0%,2024,7
David Moore (CAR),0.0,1.4%,2024,7
JuJu Smith-Schuster (KC),0.0,3.8%,2024,7
Zay Jones (ARI),0.0,1.8%,2024,7
Cooper Kupp (LAR),0.0,96.0%,2024,7
Curtis Samuel (BUF),0.0,10.4%,2024,7
Josh Reynolds (JAC),0.0,4.4%,2024,7
Mack Hollins (BUF),0.0,0.8%,2024,7
Trent Taylor (SF),0.0,0.0%,2024,7
Adam Thielen (CAR),0.0,70.1%,2024,7
Trent Sherfield Sr. (MIN),0.0,0.1%,2024,7
Brandon Powell (MIN),0.0,0.1%,2024,7
KhaDarel Hodge (ATL),0.0,0.1%,2024,7
Marquise Brown (KC),0.0,33.2%,2024,7
Kelvin Harmon (DAL),0.0,0.0%,2024,7
Dante Pettis (NO),0.0,0.1%,2024,7
DJ Moore (CHI),0.0,94.8%,2024,7
Braxton Berrios (MIA),0.0,0.2%,2024,7
DJ Chark Jr. (LAC),0.0,2.4%,2024,7
River Cracraft (MIA),0.0,0.1%,2024,7
Courtland Sutton (DEN),0.0,90.3%,2024,7
Anthony Miller (BAL),0.0,0.0%,2024,7
Equanimeous St. Brown (FA),0.0,0.0%,2024,7
Russell Gage (SF),0.0,0.0%,2024,7
Marquez Valdes-Scantling (NO),0.0,25.7%,2024,7
DeAndre Carter (CHI),0.0,0.1%,2024,7
Chris Conley (SF),0.0,0.1%,2024,7
Phillip Dorsett II (ATL),0.0,0.0%,2024,7
Jamison Crowder (WAS),0.0,0.1%,2024,7
Chris Moore (WAS),0.0,0.0%,2024,7
Laquon Treadwell (IND),0.0,0.0%,2024,7
DeVonta Smith (PHI),-0.2,92.6%,2024,7
DeAndre Hopkins (KC),-0.2,81.1%,2024,7
Jameson Williams (DET),-0.4,86.4%,2024,7
CeeDee Lamb (DAL),26.6,93.2%,2024,8
Ladd McConkey (LAC),23.1,88.2%,2024,8
Cedric Tillman (CLE),21.9,28.1%,2024,8
Josh Downs (IND),18.2,54.0%,2024,8
Calvin Austin III (PIT),17.4,4.7%,2024,8
Marvin Harrison Jr. (ARI),17.1,95.6%,2024,8
Demarcus Robinson (LAR),15.5,26.0%,2024,8
Darnell Mooney (ATL),14.6,70.5%,2024,8
DeVonta Smith (PHI),14.5,92.6%,2024,8
Jalen Coker (CAR),13.8,9.2%,2024,8
Kalif Raymond (DET),13.4,0.9%,2024,8
Noah Brown (WAS),13.3,3.7%,2024,8
Keon Coleman (BUF),13.0,49.0%,2024,8
Calvin Ridley (TEN),12.6,85.9%,2024,8
Terry McLaurin (WAS),12.5,94.2%,2024,8
Brian Thomas Jr. (JAC),12.0,93.2%,2024,8
Justin Jefferson (MIN),11.5,99.8%,2024,8
Zay Flowers (BAL),11.5,95.1%,2024,8
Ja'Marr Chase (CIN),11.4,99.7%,2024,8
Garrett Wilson (NYJ),11.3,98.8%,2024,8
Jakobi Meyers (LV),11.2,71.1%,2024,8
Cooper Kupp (LAR),11.1,96.0%,2024,8
Puka Nacua (LAR),11.1,97.1%,2024,8
Khalil Shakir (BUF),10.9,78.3%,2024,8
Darius Slayton (NYG),10.8,7.5%,2024,8
Chris Olave (NO),10.7,77.8%,2024,8
Nick Westbrook-Ikhine (TEN),9.9,27.4%,2024,8
Xavier Worthy (KC),9.7,78.4%,2024,8
Nelson Agholor (BAL),9.6,0.4%,2024,8
Tank Dell (HOU),9.5,76.4%,2024,8
Xavier Legette (CAR),9.4,30.1%,2024,8
DJ Turner (LV),9.2,0.6%,2024,8
Michael Wilson (ARI),9.1,10.7%,2024,8
Courtland Sutton (DEN),9.1,90.3%,2024,8
Deebo Samuel Sr. (SF),8.6,94.2%,2024,8
Elijah Moore (CLE),8.5,20.7%,2024,8
A.J. Brown (PHI),8.4,98.7%,2024,8
Jerry Jeudy (CLE),7.9,75.9%,2024,8
Ricky Pearsall (SF),7.7,17.3%,2024,8
Stefon Diggs (HOU),7.7,37.5%,2024,8
George Pickens (PIT),7.4,93.4%,2024,8
Joshua Palmer (LAC),7.2,14.8%,2024,8
Tyreek Hill (MIA),7.2,99.2%,2024,8
Romeo Doubs (GB),7.2,47.8%,2024,8
Malik Nabers (NYG),7.1,97.7%,2024,8
Trent Sherfield Sr. (MIN),7.0,0.1%,2024,8
Jaxon Smith-Njigba (SEA),6.9,90.4%,2024,8
Amon-Ra St. Brown (DET),6.7,99.7%,2024,8
Van Jefferson (PIT),6.2,0.9%,2024,8
Xavier Gipson (NYJ),6.1,0.6%,2024,8
Christian Kirk (JAC),5.9,44.7%,2024,8
Rakim Jarrett (TB),5.8,0.0%,2024,8
Jayden Reed (GB),5.5,88.5%,2024,8
Davante Adams (NYJ),5.4,98.9%,2024,8
Rome Odunze (CHI),5.4,65.4%,2024,8
Jalen McMillan (TB),5.2,52.3%,2024,8
Parker Washington (JAC),4.6,3.0%,2024,8
Kayshon Boutte (NE),4.6,5.4%,2024,8
Jaylen Waddle (MIA),4.5,83.9%,2024,8
Jalen Tolbert (DAL),4.4,10.6%,2024,8
Jermaine Burton (CIN),4.1,2.1%,2024,8
Keenan Allen (CHI),3.9,84.6%,2024,8
David Moore (CAR),3.9,1.4%,2024,8
Christian Watson (GB),3.9,57.1%,2024,8
Bub Means (NO),3.6,1.0%,2024,8
Jalen Reagor (LAC),3.5,0.0%,2024,8
DJ Moore (CHI),3.4,94.8%,2024,8
Drake London (ATL),3.4,98.4%,2024,8
Justin Watson (KC),3.3,0.7%,2024,8
Tre Tucker (LV),3.3,7.9%,2024,8
Wan'Dale Robinson (NYG),3.0,36.9%,2024,8
John Metchie III (HOU),2.9,0.8%,2024,8
Trey Palmer (TB),2.9,1.1%,2024,8
DeAndre Hopkins (KC),2.9,81.1%,2024,8
Rashod Bateman (BAL),2.8,26.5%,2024,8
Devaughn Vele (DEN),2.8,12.5%,2024,8
KaVontae Turpin (DAL),2.7,2.8%,2024,8
Ray-Ray McCloud III (ATL),2.6,19.3%,2024,8
Jordan Addison (MIN),2.2,86.0%,2024,8
Tyquan Thornton (KC),2.0,0.1%,2024,8
Tim Jones (JAC),2.0,0.0%,2024,8
Ryan Miller (TB),1.9,0.0%,2024,8
Xavier Hutchinson (HOU),1.9,0.7%,2024,8
Robert Woods (HOU),1.8,0.7%,2024,8
Tutu Atwell (LAR),1.8,2.7%,2024,8
Sterling Shepard (TB),1.8,6.4%,2024,8
Michael Pittman Jr. (IND),1.6,81.0%,2024,8
Jalen Nailor (MIN),1.6,9.1%,2024,8
Jake Bobo (SEA),1.5,0.2%,2024,8
Tyler Boyd (TEN),1.4,3.1%,2024,8
Mason Tipton (NO),1.4,0.8%,2024,8
DeMario Douglas (NE),1.2,19.2%,2024,8
Dontayvion Wicks (GB),1.1,14.7%,2024,8
Alec Pierce (IND),1.1,21.8%,2024,8
Laviska Shenault Jr. (FA),1.0,0.1%,2024,8
Tyler Lockett (SEA),0.9,46.2%,2024,8
Greg Dortch (ARI),0.9,6.2%,2024,8
Adonai Mitchell (IND),0.9,8.2%,2024,8
Troy Franklin (DEN),0.9,3.0%,2024,8
Mecole Hardman Jr. (KC),0.8,0.2%,2024,8
Luke McCaffrey (WAS),0.8,2.5%,2024,8
Marvin Mims Jr. (DEN),0.8,7.2%,2024,8
DeAndre Carter (CHI),0.7,0.1%,2024,8
Isaiah Williams (CIN),0.6,0.1%,2024,8
Dee Eskridge (MIA),0.6,0.0%,2024,8
Dyami Brown (WAS),0.6,0.7%,2024,8
Tyler Johnson (LAR),0.6,9.9%,2024,8
Trenton Irwin (FA),0.4,0.1%,2024,8
Zay Jones (ARI),0.3,1.8%,2024,8
Amari Cooper (BUF),0.3,79.7%,2024,8
Lil'Jordan Humphrey (DEN),0.2,1.0%,2024,8
Ben Skowronek (PIT),0.0,0.0%,2024,8
Cornell Powell (SEA),0.0,0.0%,2024,8
Dax Milne (CAR),0.0,0.0%,2024,8
Jaelon Darden (SEA),0.0,0.0%,2024,8
Chris Blair (ATL),0.0,0.0%,2024,8
Steven Sims Jr. (BAL),0.0,0.0%,2024,8
D.J. Montgomery (IND),0.0,0.0%,2024,8
Tom Kennedy (DET),0.0,0.0%,2024,8
Deonte Harty (BAL),0.0,0.1%,2024,8
Malik Taylor (NYJ),0.0,0.0%,2024,8
Olamide Zaccheaus (WAS),0.0,3.8%,2024,8
Alex Bachman (LV),0.0,0.0%,2024,8
Nsimba Webster (CHI),0.0,0.0%,2024,8
Gabe Davis (JAC),0.0,20.5%,2024,8
James Proche II (CLE),0.0,0.0%,2024,8
Isaiah Hodgins (SF),0.0,0.0%,2024,8
Quintez Cephus (LAR),0.0,0.0%,2024,8
Easop Winston Jr. (NYJ),0.0,0.0%,2024,8
Gunner Olszewski (NYG),0.0,0.0%,2024,8
Devin Duvernay (JAC),0.0,0.2%,2024,8
Tee Higgins (CIN),0.0,95.3%,2024,8
Brandon Aiyuk (SF),0.0,53.8%,2024,8
KJ Hamler (BUF),0.0,0.0%,2024,8
Parris Campbell (PHI),0.0,0.0%,2024,8
Cody Thompson (TB),0.0,0.0%,2024,8
David Sills (ATL),0.0,0.0%,2024,8
Scotty Miller (FA),0.0,0.1%,2024,8
Stanley Morgan Jr. (TEN),0.0,0.0%,2024,8
Ashton Dulin (IND),0.0,0.0%,2024,8
Juwann Winfree (IND),0.0,0.0%,2024,8
Quinton Bell (MIA),0.0,0.1%,2024,8
Marquez Callaway (TB),0.0,0.0%,2024,8
Nico Collins (HOU),0.0,98.8%,2024,8
Dez Fitzpatrick (LAC),0.0,0.0%,2024,8
Ihmir Smith-Marsette (NYG),0.0,0.1%,2024,8
Seth Williams (DAL),0.0,0.0%,2024,8
Anthony Schwartz (MIA),0.0,0.0%,2024,8
Dan Chisena (CAR),0.0,0.0%,2024,8
Andre Baccellia (ARI),0.0,0.0%,2024,8
Tarik Black (MIA),0.0,0.0%,2024,8
Cody White (SEA),0.0,0.0%,2024,8
K.J. Osborn (WAS),0.0,1.5%,2024,8
Rondale Moore (ATL),0.0,0.8%,2024,8
Justyn Ross (KC),0.0,0.0%,2024,8
Tylan Wallace (BAL),0.0,0.1%,2024,8
Quez Watkins (ARI),0.0,0.0%,2024,8
Jauan Jennings (SF),0.0,80.0%,2024,8
Trishton Jackson (ARI),0.0,0.0%,2024,8
Lawrence Cager (WAS),0.0,0.0%,2024,8
Mason Kinsey (TEN),0.0,0.0%,2024,8
Kristian Wilkerson (LV),0.0,0.0%,2024,8
Javon Baker (NE),0.0,1.8%,2024,8
Tyrell Shavers (BUF),0.0,0.0%,2024,8
Dylan Drummond (ATL),0.0,0.0%,2024,8
John Stephens Jr. (DAL),0.0,0.0%,2024,8
Zavier Scott (MIN),0.0,0.0%,2024,8
Shedrick Jackson (LV),0.0,0.0%,2024,8
Jason Brownlee (KC),0.0,0.0%,2024,8
T.J. Luther (CAR),0.0,0.0%,2024,8
Nikko Remigio (KC),0.0,0.1%,2024,8
Lucky Jackson (MIN),0.0,0.0%,2024,8
Malachi Corley (NYJ),0.0,2.3%,2024,8
Devontez Walker (BAL),0.0,1.5%,2024,8
Jesse Matthews (ATL),0.0,0.0%,2024,8
Jalen Cropper (DAL),0.0,0.0%,2024,8
Bryce Ford-Wheaton (NYG),0.0,0.0%,2024,8
Maurice Alexander (CHI),0.0,0.0%,2024,8
Charlie Jones (CIN),0.0,0.1%,2024,8
Jalin Hyatt (NYG),0.0,2.2%,2024,8
Jacob Cowing (SF),0.0,0.6%,2024,8
Johnny Wilson (PHI),0.0,0.2%,2024,8
Derius Davis (LAC),0.0,0.3%,2024,8
Andrei Iosivas (CIN),0.0,4.1%,2024,8
Xavier Smith (LAR),0.0,0.0%,2024,8
Brycen Tremayne (WAS),0.0,0.0%,2024,8
Malik Heath (GB),0.0,0.1%,2024,8
Kazmeir Allen (WAS),0.0,0.0%,2024,8
Grant DuBose (MIA),0.0,0.0%,2024,8
Tyler Scott (CHI),0.0,0.1%,2024,8
Antoine Green (DET),0.0,0.0%,2024,8
Colton Dowell (TEN),0.0,0.0%,2024,8
Jalen Brooks (DAL),0.0,0.1%,2024,8
Jared Wayne (HOU),0.0,0.0%,2024,8
Thayer Thomas (MIN),0.0,0.0%,2024,8
Qadir Ismail (BAL),0.0,0.0%,2024,8
David White Jr. (JAC),0.0,0.0%,2024,8
Cole Burgess (CIN),0.0,0.0%,2024,8
Kameron Johnson (TB),0.0,0.0%,2024,8
Julian Hicks (GB),0.0,0.0%,2024,8
John Jiles (NE),0.0,0.0%,2024,8
Tanner Knue (TB),0.0,0.0%,2024,8
John Jackson III (CHI),0.0,0.0%,2024,8
Brenden Rice (LAC),0.0,1.3%,2024,8
Malik Washington (MIA),0.0,2.9%,2024,8
Ja'Lynn Polk (NE),0.0,5.2%,2024,8
Joshua Cephus (JAC),0.0,0.0%,2024,8
Jha'Quan Jackson (TEN),0.0,0.1%,2024,8
John Rhys Plumlee (SEA),0.0,0.0%,2024,8
Tahj Washington (MIA),0.0,0.0%,2024,8
Roman Wilson (PIT),0.0,2.2%,2024,8
Jamari Thrash (CLE),0.0,0.1%,2024,8
Ryan Flournoy (DAL),0.0,0.1%,2024,8
Bryce Oliver (TEN),0.0,0.0%,2024,8
Jaylen Johnson (LAC),0.0,0.0%,2024,8
Jeshaun Jones (MIN),0.0,0.0%,2024,8
